#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
# jac2dat - Convert .jac/.jca files to various data formats
# jac2dat v1.04 (2020-07-18)
# Perl v5.30.1
# Current time: 2020-07-18 17:45:34
#
# Jaewoong Jang
# jangj@korea.ac.kr
#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

#---------------------------------------------------------------------
# Gamma-ray detector
#---------------------------------------------------------------------
# Detector ID:    det01
# Detector model: GEM (manufacturer: ORTEC, distributor: Seiko EG&G)
#---------------------------------------------------------------------
#---------------------------------------------------------------------
# Calibration functions
#---------------------------------------------------------------------
# Energy calibration date: 2018-04-19 14:19:21
# Energy (keV)   = 6.942824e-001 + 4.994878e-001*$ch + 6.919887e-008*$ch**2
# Peak FWHM (ch) = 2.076851e+000 + 8.814739e-003*sqrt($nrg) + 1.204853e-003*$nrg
#
# Efficiency calibration date: 2018-04-19 14:22:21
# Efficiency expression: fitted
# det_eff_knee: 180 keV
# det_eff_bef_knee (cnt/gam)  = exp(-3.824022e+001 + 1.427534e+001*ln($nrg) - 1.452642e+000*ln($nrg)**2)
# det_eff_from_knee (cnt/gam) = exp(1.470955e+000 - 1.018902e+000*ln($nrg) + 1.995309e-002*ln($nrg)**2)
#---------------------------------------------------------------------
#---------------------------------------------------------------------
# Time information
#---------------------------------------------------------------------
# Live time (duration): 1200 s
# Real time (duration): 1209 s
# Acquired time:        2019-01-17 11:15:30
#---------------------------------------------------------------------

#-----------------------------------------------------------------------------------------------------------------------------------------------
# Channel | Gamma energy | Peak FWHM | Peak efficiency | Count       | Count per second or "cps" | Gamma           | Gamma per second or "gps"
# (ch)    | (keV)        | (ch)      | (cnt gam^{-1})  | (cnt)       | (cnt sec^{-1})            | (gam)           | (gam sec^{-1})           
#-----------------------------------------------------------------------------------------------------------------------------------------------
23            12.1825384   2.1222957      0.0000088876          0.00                     0.00000           0.00000                     0.00000
24            12.6820295   2.1235219      0.0000117526          0.00                     0.00000           0.00000                     0.00000
25            13.1815206   2.1247359      0.0000153064          0.00                     0.00000           0.00000                     0.00000
26            13.6810120   2.1259384      0.0000196592          0.00                     0.00000           0.00000                     0.00000
27            14.1805034   2.1271301      0.0000249293          0.00                     0.00000           0.00000                     0.00000
28            14.6799951   2.1283115      0.0000312423          0.00                     0.00000           0.00000                     0.00000
29            15.1794868   2.1294830      0.0000387309          0.00                     0.00000           0.00000                     0.00000
30            15.6789787   2.1306453      0.0000475343          0.00                     0.00000           0.00000                     0.00000
31            16.1784707   2.1317987      0.0000577970          0.00                     0.00000           0.00000                     0.00000
32            16.6779629   2.1329437      0.0000696687          0.00                     0.00000           0.00000                     0.00000
33            17.1774552   2.1340806      0.0000833028          0.00                     0.00000           0.00000                     0.00000
34            17.6769476   2.1352098      0.0000988564          0.00                     0.00000           0.00000                     0.00000
35            18.1764402   2.1363316      0.0001164889          0.00                     0.00000           0.00000                     0.00000
36            18.6759329   2.1374462      0.0001363614          0.00                     0.00000           0.00000                     0.00000
37            19.1754257   2.1385541      0.0001586361          0.00                     0.00000           0.00000                     0.00000
38            19.6749187   2.1396554      0.0001834752          0.00                     0.00000           0.00000                     0.00000
39            20.1744119   2.1407504      0.0002110404          0.00                     0.00000           0.00000                     0.00000
40            20.6739051   2.1418394      0.0002414921          0.00                     0.00000           0.00000                     0.00000
41            21.1733985   2.1429225      0.0002749886          0.00                     0.00000           0.00000                     0.00000
42            21.6728921   2.1439999      0.0003116858          0.00                     0.00000           0.00000                     0.00000
43            22.1723857   2.1450719      0.0003517361          0.00                     0.00000           0.00000                     0.00000
44            22.6718796   2.1461387      0.0003952883          0.00                     0.00000           0.00000                     0.00000
45            23.1713735   2.1472003      0.0004424867          0.00                     0.00000           0.00000                     0.00000
46            23.6708676   2.1482570      0.0004934709          0.00                     0.00000           0.00000                     0.00000
47            24.1703619   2.1493090      0.0005483752          0.00                     0.00000           0.00000                     0.00000
48            24.6698562   2.1503563      0.0006073282          0.00                     0.00000           0.00000                     0.00000
49            25.1693507   2.1513991      0.0006704525          0.00                     0.00000           0.00000                     0.00000
50            25.6688454   2.1524376      0.0007378643          0.00                     0.00000           0.00000                     0.00000
51            26.1683402   2.1534718      0.0008096733          0.00                     0.00000           0.00000                     0.00000
52            26.6678351   2.1545019      0.0008859825          0.00                     0.00000           0.00000                     0.00000
53            27.1673302   2.1555281      0.0009668875      71933.94                    59.94495    74397426.16897                 61997.85514
54            27.6668254   2.1565503      0.0010524770     110302.15                    91.91846   104802431.03558                 87335.35920
55            28.1663207   2.1575688      0.0011428324     176752.19                   147.29349   154661514.48232                128884.59540
56            28.6658162   2.1585836      0.0012380276      22644.66                    18.87055    18290917.32856                 15242.43111
57            29.1653118   2.1595948      0.0013381290     226488.72                   188.74060   169257758.71456                141048.13226
58            29.6648076   2.1606026      0.0014431958     201131.83                   167.60986   139365588.81798                116137.99068
59            30.1643035   2.1616069      0.0015532794     101869.82                    84.89152    65583706.78984                 54653.08899
60            30.6637995   2.1626079      0.0016684240     195784.90                   163.15408   117347212.54704                 97789.34379
61            31.1632957   2.1636057      0.0017886662     184588.18                   153.82348   103198786.91799                 85998.98910
62            31.6627920   2.1646003      0.0019140355     212573.32                   177.14443   111060282.66911                 92550.23556
63            32.1622885   2.1655918      0.0020445540      29289.79                    24.40816    14325760.22339                 11938.13352
64            32.6617850   2.1665803      0.0021802367      16494.48                    13.74540     7565453.61608                  6304.54468
65            33.1612818   2.1675659      0.0023210919     219911.12                   183.25927    94744686.56913                 78953.90547
66            33.6607786   2.1685486      0.0024671205      61434.58                    51.19548    24901329.33542                 20751.10778
67            34.1602756   2.1695284      0.0026183172       7166.02                     5.97168     2736879.99562                  2280.73333
68            34.6597728   2.1705055      0.0027746700     232538.59                   193.78216    83807656.18925                 69839.71349
69            35.1592701   2.1714800      0.0029361606     235943.89                   196.61991    80357966.06325                 66964.97172
70            35.6587675   2.1724518      0.0031027644      16804.37                    14.00364     5415934.95884                  4513.27913
71            36.1582650   2.1734210      0.0032744510     191295.23                   159.41269    58420550.23678                 48683.79186
72            36.6577627   2.1743876      0.0034511843      15933.71                    13.27809     4616881.78990                  3847.40149
73            37.1572606   2.1753518      0.0036329225     243716.27                   203.09689    67085457.56231                 55904.54797
74            37.6567585   2.1763136      0.0038196186      25168.17                    20.97347     6589184.05695                  5490.98671
75            38.1562566   2.1772730      0.0040112204     239690.39                   199.74199    59754979.31246                 49795.81609
76            38.6557549   2.1782300      0.0042076708     245044.86                   204.20405    58237650.83596                 48531.37570
77            39.1552533   2.1791848      0.0044089080     189584.90                   157.98742    43000420.82738                 35833.68402
78            39.6547518   2.1801373      0.0046148660     209873.23                   174.89436    45477643.70163                 37898.03642
79            40.1542505   2.1810877      0.0048254742      72464.75                    60.38729    15017125.24561                 12514.27104
80            40.6537493   2.1820358      0.0050406582     235007.90                   195.83992    46622462.89518                 38852.05241
81            41.1532482   2.1829819      0.0052603398     262020.91                   218.35076    49810643.14737                 41508.86929
82            41.6527473   2.1839258      0.0054844372       6682.03                     5.56836     1218362.01223                  1015.30168
83            42.1522465   2.1848677      0.0057128653     132356.78                   110.29732    23168195.47772                 19306.82956
84            42.6517459   2.1858076      0.0059455357     195677.39                   163.06449    32911650.09882                 27426.37508
85            43.1512454   2.1867456      0.0061823572     264578.83                   220.48236    42795785.40973                 35663.15451
86            43.6507450   2.1876816      0.0064232357     183611.59                   153.00966    28585528.76067                 23821.27397
87            44.1502448   2.1886157      0.0066680749     164596.81                   137.16401    24684307.12615                 20570.25594
88            44.6497447   2.1895479      0.0069167760      29130.35                    24.27529     4211550.32382                  3509.62527
89            45.1492447   2.1904782      0.0071692378     231757.16                   193.13097    32326610.86107                 26938.84238
90            45.6487449   2.1914068      0.0074253575      31506.51                    26.25542     4243096.69330                  3535.91391
91            46.1482452   2.1923336      0.0076850305      32123.92                    26.76993     4180064.07044                  3483.38673
92            46.6477457   2.1932586      0.0079481505     207513.12                   172.92760    26108353.08427                 21756.96090
93            47.1472463   2.1941819      0.0082146098      17228.89                    14.35741     2097347.33337                  1747.78944
94            47.6467470   2.1951035      0.0084842995      15008.22                    12.50685     1768940.37432                  1474.11698
95            48.1462479   2.1960234      0.0087571097     163641.80                   136.36817    18686736.36890                 15572.28031
96            48.6457489   2.1969417      0.0090329294     108617.06                    90.51422    12024566.53662                 10020.47211
97            49.1452501   2.1978584      0.0093116469     132479.41                   110.39951    14227280.29204                 11856.06691
98            49.6447514   2.1987734      0.0095931500     123077.97                   102.56498    12829776.52178                 10691.48043
99            50.1442528   2.1996869      0.0098773258     114616.99                    95.51416    11604050.73642                  9670.04228
100           50.6437544   2.2005989      0.0101640614      96580.89                    80.48408     9502194.67970                  7918.49557
101           51.1432561   2.2015093      0.0104532433     179276.45                   149.39704    17150318.29489                 14291.93191
102           51.6427579   2.2024182      0.0107447582      15376.52                    12.81377     1431071.75647                  1192.55980
103           52.1422599   2.2033256      0.0110384927      35079.94                    29.23328     3177964.68510                  2648.30390
104           52.6417621   2.2042316      0.0113343336      33626.86                    28.02238     2966814.03462                  2472.34503
105           53.1412643   2.2051361      0.0116321679     115692.21                    96.41018     9945885.46154                  8288.23788
106           53.6407667   2.2060393      0.0119318831     121684.93                   101.40411    10198300.51378                  8498.58376
107           54.1402693   2.2069410      0.0122333671      19831.55                    16.52629     1621103.15463                  1350.91930
108           54.6397719   2.2078413      0.0125365083       7938.88                     6.61573      633260.85967                   527.71738
109           55.1392748   2.2087403      0.0128411957      81908.23                    68.25686     6378551.63156                  5315.45969
110           55.6387777   2.2096379      0.0131473194      26929.50                    22.44125     2048288.26813                  1706.90689
111           56.1382808   2.2105342      0.0134547698      92320.72                    76.93393     6861560.72172                  5717.96727
112           56.6377840   2.2114292      0.0137634386      65099.52                    54.24960     4729887.76659                  3941.57314
113           57.1372874   2.2123229      0.0140732184     105804.87                    88.17072     7518171.55177                  6265.14296
114           57.6367909   2.2132154      0.0143840026      30102.03                    25.08502     2092743.64306                  1743.95304
115           58.1362946   2.2141066      0.0146956860     110412.81                    92.01067     7513280.43597                  6261.06703
116           58.6357983   2.2149965      0.0150081644      14301.53                    11.91794      952916.66949                   794.09722
117           59.1353023   2.2158852      0.0153213348      59169.39                    49.30783     3861895.24761                  3218.24604
118           59.6348063   2.2167727      0.0156350956      80138.50                    66.78208     5125552.29362                  4271.29358
119           60.1343105   2.2176591      0.0159493464      82794.47                    68.99539     5191088.59013                  4325.90716
120           60.6338149   2.2185442      0.0162639882      64815.00                    54.01250     3985184.89078                  3320.98741
121           61.1333193   2.2194282      0.0165789234     151951.38                   126.62615     9165334.56899                  7637.77881
122           61.6328240   2.2203110      0.0168940559      85299.08                    71.08257     5049058.69258                  4207.54891
123           62.1323287   2.2211927      0.0172092911      34838.31                    29.03192     2024389.60845                  1686.99134
124           62.6318336   2.2220732      0.0175245356     117771.55                    98.14296     6720380.63678                  5600.31720
125           63.1313386   2.2229527      0.0178396981      16847.23                    14.03936      944367.44084                   786.97287
126           63.6308438   2.2238311      0.0181546883     145029.31                   120.85776     7988532.10385                  6657.11009
127           64.1303491   2.2247083      0.0184694178      52366.32                    43.63860     2835298.90321                  2362.74909
128           64.6298546   2.2255845      0.0187837998      85628.03                    71.35669     4558610.66105                  3798.84222
129           65.1293601   2.2264597      0.0190977491     118846.56                    99.03880     6223066.37536                  5185.88865
130           65.6288659   2.2273338      0.0194111820     153421.95                   127.85163     7903792.25811                  6586.49355
131           66.1283717   2.2282069      0.0197240167      87482.79                    72.90232     4435343.53675                  3696.11961
132           66.6278777   2.2290789      0.0200361729      58514.10                    48.76175     2920422.98848                  2433.68582
133           67.1273839   2.2299499      0.0203475721     129263.91                   107.71993     6352792.82729                  5293.99402
134           67.6268901   2.2308200      0.0206581373     142003.68                   118.33640     6873982.77187                  5728.31898
135           68.1263965   2.2316890      0.0209677934     165762.98                   138.13582     7905599.63571                  6587.99970
136           68.6259031   2.2325571      0.0212764669      38359.46                    31.96622     1802905.53802                  1502.42128
137           69.1254098   2.2334242      0.0215840860     139030.68                   115.85890     6441351.29294                  5367.79274
138           69.6249166   2.2342903      0.0218905805      29049.78                    24.20815     1327044.75338                  1105.87063
139           70.1244236   2.2351555      0.0221958821      29344.37                    24.45364     1322063.69863                  1101.71975
140           70.6239307   2.2360198      0.0224999241      36816.61                    30.68051     1636299.29861                  1363.58275
141           71.1234379   2.2368831      0.0228026414     183713.33                   153.09444     8056668.82334                  6713.89069
142           71.6229453   2.2377456      0.0231039707     160111.01                   133.42584     6930021.34302                  5775.01779
143           72.1224528   2.2386071      0.0234038503      25820.88                    21.51740     1103274.87378                   919.39573
144           72.6219605   2.2394677      0.0237022203     182688.03                   152.24003     7707633.63214                  6423.02803
145           73.1214683   2.2403274      0.0239990222      95236.91                    79.36409     3968366.26512                  3306.97189
146           73.6209762   2.2411863      0.0242941994      56184.93                    46.82077     2312689.09621                  1927.24091
147           74.1204843   2.2420442      0.0245876968     231598.96                   192.99913     9419302.74816                  7849.41896
148           74.6199925   2.2429014      0.0248794610     203394.87                   169.49572     8175212.07745                  6812.67673
149           75.1195009   2.2437576      0.0251694401      67616.53                    56.34711     2686453.47761                  2238.71123
150           75.6190094   2.2446130      0.0254575840      50824.13                    42.35344     1996423.93351                  1663.68661
151           76.1185180   2.2454676      0.0257438439     170441.96                   142.03497     6620688.05440                  5517.24005
152           76.6180268   2.2463214      0.0260281728     113644.28                    94.70357     4366202.75776                  3638.50230
153           77.1175357   2.2471743      0.0263105252     195399.19                   162.83266     7426654.87580                  6188.87906
154           77.6170447   2.2480265      0.0265908569     176656.97                   147.21414     6643523.01709                  5536.26918
155           78.1165539   2.2488778      0.0268691256     106867.27                    89.05606     3977325.93032                  3314.43828
156           78.6160632   2.2497283      0.0271452902     168154.14                   140.12845     6194597.24414                  5162.16437
157           79.1155727   2.2505780      0.0274193112     112511.41                    93.75951     4103363.82971                  3419.46986
158           79.6150823   2.2514270      0.0276911506     189588.13                   157.99011     6846524.09873                  5705.43675
159           80.1145920   2.2522752      0.0279607717     116823.00                    97.35250     4178103.56740                  3481.75297
160           80.6141019   2.2531226      0.0282281393      53077.46                    44.23122     1880303.17623                  1566.91931
161           81.1136119   2.2539692      0.0284932196     200134.50                   166.77875     7023934.20784                  5853.27851
162           81.6131221   2.2548152      0.0287559802     105697.52                    88.08127     3675670.91053                  3063.05909
163           82.1126323   2.2556603      0.0290163900     129504.09                   107.92007     4463135.82965                  3719.27986
164           82.6121428   2.2565047      0.0292744193     132793.25                   110.66104     4536153.16900                  3780.12764
165           83.1116533   2.2573484      0.0295300397      57343.15                    47.78596     1941858.20961                  1618.21517
166           83.6111640   2.2581914      0.0297832240      52972.63                    44.14386     1778606.30544                  1482.17192
167           84.1106749   2.2590336      0.0300339464     118197.33                    98.49778     3935457.84457                  3279.54820
168           84.6101859   2.2598752      0.0302821823     104811.48                    87.34290     3461160.05999                  2884.30005
169           85.1096970   2.2607160      0.0305279084     175554.43                   146.29536     5750620.96511                  4792.18414
170           85.6092082   2.2615561      0.0307711024      62818.37                    52.34864     2041472.84370                  1701.22737
171           86.1087196   2.2623955      0.0310117435      33967.55                    28.30629     1095312.48984                   912.76041
172           86.6082312   2.2632343      0.0312498118      55759.28                    46.46607     1784307.70554                  1486.92309
173           87.1077429   2.2640723      0.0314852887     188787.36                   157.32280     5996049.83877                  4996.70820
174           87.6072547   2.2649097      0.0317181565      29848.97                    24.87414      941068.87824                   784.22407
175           88.1067666   2.2657464      0.0319483990      92441.86                    77.03488     2893473.94008                  2411.22828
176           88.6062787   2.2665825      0.0321760007     226830.37                   189.02531     7049675.68362                  5874.72974
177           89.1057909   2.2674179      0.0324009474     319852.52                   266.54377     9871702.70422                  8226.41892
178           89.6053033   2.2682526      0.0326232257     325229.47                   271.02456     9969261.55415                  8307.71796
179           90.1048158   2.2690867      0.0328428235      57261.29                    47.71774     1743494.74002                  1452.91228
180           90.6043284   2.2699201      0.0330597294     256103.22                   213.41935     7746682.27568                  6455.56856
181           91.1038412   2.2707530      0.0332739333     244995.78                   204.16315     7362994.27140                  6135.82856
182           91.6033541   2.2715851      0.0334854257     513353.93                   427.79494    15330667.59191                 12775.55633
183           92.1028672   2.2724167      0.0336941982     563893.74                   469.91145    16735633.12590                 13946.36094
184           92.6023804   2.2732476      0.0339002435     297004.16                   247.50347     8761121.73887                  7300.93478
185           93.1018937   2.2740779      0.0341035548     549922.78                   458.26898    16125086.76806                 13437.57231
186           93.6014072   2.2749076      0.0343041264     139253.46                   116.04455     4059379.27672                  3382.81606
187           94.1009208   2.2757367      0.0345019536     668864.47                   557.38706    19386278.19000                 16155.23183
188           94.6004346   2.2765652      0.0346970321     484117.46                   403.43122    13952705.19285                 11627.25433
189           95.0999485   2.2773931      0.0348893588     708725.47                   590.60456    20313513.75705                 16927.92813
190           95.5994625   2.2782204      0.0350789312     253987.55                   211.65629     7240458.62343                  6033.71552
191           96.0989766   2.2790471      0.0352657477     638304.89                   531.92074    18099854.17884                 15083.21182
192           96.5984909   2.2798732      0.0354498072     214559.77                   178.79981     6052494.69691                  5043.74558
193           97.0980054   2.2806988      0.0356311096     198523.36                   165.43613     5571630.02041                  4643.02502
194           97.5975200   2.2815238      0.0358096555     406426.81                   338.68901    11349643.12875                  9458.03594
195           98.0970347   2.2823482      0.0359854459     434276.32                   361.89693    12068110.00772                 10056.75834
196           98.5965495   2.2831720      0.0361584829     462376.94                   385.31412    12787509.40692                 10656.25784
197           99.0960645   2.2839953      0.0363287689     537592.28                   447.99357    14797976.81772                 12331.64735
198           99.5955797   2.2848180      0.0364963072     452797.87                   377.33156    12406676.32623                 10338.89694
199          100.0950949   2.2856402      0.0366611015     402700.63                   335.58386    10984411.64908                  9153.67637
200          100.5946104   2.2864618      0.0368231562     345382.88                   287.81907     9379502.33613                  7816.25195
201          101.0941259   2.2872829      0.0369824765     212322.54                   176.93545     5741166.09013                  4784.30508
202          101.5936416   2.2881034      0.0371390678     529141.46                   440.95122    14247569.77353                 11872.97481
203          102.0931574   2.2889234      0.0372929363     177674.51                   148.06209     4764293.92518                  3970.24494
204          102.5926734   2.2897429      0.0374440887     491259.32                   409.38277    13119809.74262                 10933.17479
205          103.0921895   2.2905618      0.0375925322     317281.34                   264.40112     8440009.79640                  7033.34150
206          103.5917057   2.2913802      0.0377382745     470311.78                   391.92648    12462461.16606                 10385.38431
207          104.0912221   2.2921981      0.0378813237      14420.92                    12.01743      380686.80228                   317.23900
208          104.5907386   2.2930155      0.0380216887     167320.46                   139.43372     4400658.30140                  3667.21525
209          105.0902553   2.2938323      0.0381593785      24287.82                    20.23985      636483.63676                   530.40303
210          105.5897721   2.2946487      0.0382944027     212706.65                   177.25554     5554510.18620                  4628.75849
211          106.0892890   2.2954645      0.0384267714     180282.35                   150.23529     4691582.02325                  3909.65169
212          106.5888061   2.2962798      0.0385564950     129751.84                   108.12653     3365239.49828                  2804.36625
213          107.0883233   2.2970947      0.0386835844     201547.94                   167.95662     5210167.12903                  4341.80594
214          107.5878406   2.2979090      0.0388080508     425312.58                   354.42715    10959390.40345                  9132.82534
215          108.0873581   2.2987229      0.0389299059     367152.07                   305.96006     9431106.01689                  7859.25501
216          108.5868757   2.2995362      0.0390491617     180682.92                   150.56910     4627062.71562                  3855.88560
217          109.0863935   2.3003491      0.0391658304     156770.86                   130.64238     4002745.71927                  3335.62143
218          109.5859114   2.3011615      0.0392799248     261335.20                   217.77933     6653149.18496                  5544.29099
219          110.0854294   2.3019734      0.0393914580     255630.25                   213.02521     6489484.34260                  5407.90362
220          110.5849476   2.3027849      0.0395004432      98045.27                    81.70439     2482130.88230                  2068.44240
221          111.0844659   2.3035958      0.0396068941     106378.77                    88.64898     2685864.98177                  2238.22082
222          111.5839844   2.3044063      0.0397108247     115500.81                    96.25068     2908547.25260                  2423.78938
223          112.0835030   2.3052163      0.0398122490      31980.82                    26.65068      803290.96611                   669.40914
224          112.5830217   2.3060259      0.0399111817     488919.26                   407.43272    12250182.49636                 10208.48541
225          113.0825406   2.3068350      0.0400076375     389917.70                   324.93142     9746081.60675                  8121.73467
226          113.5820596   2.3076437      0.0401016313     333596.47                   277.99706     8318775.54717                  6932.31296
227          114.0815787   2.3084519      0.0401931784     386551.98                   322.12665     9617352.87630                  8014.46073
228          114.5810980   2.3092596      0.0402822942     340965.20                   284.13767     8464393.75976                  7053.66147
229          115.0806175   2.3100669      0.0403689945     358966.23                   299.13852     8892127.10523                  7410.10592
230          115.5801370   2.3108737      0.0404532950     428099.09                   356.74924    10582551.80480                  8818.79317
231          116.0796567   2.3116802      0.0405352119     198209.04                   165.17420     4889799.03633                  4074.83253
232          116.5791766   2.3124861      0.0406147614     418072.02                   348.39335    10293597.83661                  8577.99820
233          117.0786965   2.3132917      0.0406919600     503519.67                   419.59972    12373935.05638                 10311.61255
234          117.5782167   2.3140968      0.0407668242     434279.62                   361.89968    10652770.43709                  8877.30870
235          118.0777369   2.3149014      0.0408393710     447025.51                   372.52126    10945945.04257                  9121.62087
236          118.5772573   2.3157057      0.0409096171     241153.80                   200.96150     5894794.85213                  4912.32904
237          119.0767778   2.3165095      0.0409775796     133390.32                   111.15860     3255202.51028                  2712.66876
238          119.5762985   2.3173129      0.0410432758     256047.52                   213.37293     6238476.70245                  5198.73059
239          120.0758193   2.3181158      0.0411067230      59869.31                    49.89109     1456435.96932                  1213.69664
240          120.5753403   2.3189184      0.0411679387     438578.09                   365.48174    10653389.60413                  8877.82467
241          121.0748613   2.3197205      0.0412269404      56094.06                    46.74505     1360616.61428                  1133.84718
242          121.5743826   2.3205223      0.0412837457     542294.64                   451.91220    13135790.62969                 10946.49219
243          122.0739039   2.3213236      0.0413383725     427437.79                   356.19816    10339976.25052                  8616.64688
244          122.5734254   2.3221245      0.0413908386      38069.55                    31.72463      919757.88030                   766.46490
245          123.0729471   2.3229250      0.0414411620      55336.15                    46.11346     1335294.36274                  1112.74530
246          123.5724688   2.3237251      0.0414893606     252793.16                   210.66097     6092963.49986                  5077.46958
247          124.0719908   2.3245248      0.0415354526     281774.44                   234.81203     6783950.14603                  5653.29179
248          124.5715128   2.3253241      0.0415794562     216786.55                   180.65546     5213789.93502                  4344.82495
249          125.0710350   2.3261230      0.0416213894     312297.87                   260.24822     7503302.37809                  6252.75198
250          125.5705573   2.3269215      0.0416612706      25050.95                    20.87579      601300.67162                   501.08389
251          126.0700798   2.3277196      0.0416991181     496141.23                   413.45102    11898122.84568                  9915.10237
252          126.5696024   2.3285174      0.0417349503     540556.20                   450.46350    12952122.77642                 10793.43565
253          127.0691252   2.3293147      0.0417687854     229122.21                   190.93517     5485488.92667                  4571.24077
254          127.5686480   2.3301117      0.0418006420     321652.20                   268.04350     7694910.51789                  6412.42543
255          128.0681711   2.3309083      0.0418305385     427007.65                   355.83971    10208036.17527                  8506.69681
256          128.5676942   2.3317045      0.0418584932     272320.13                   226.93344     6505731.78761                  5421.44316
257          129.0672175   2.3325003      0.0418845248     208330.10                   173.60842     4973915.81276                  4144.92984
258          129.5667410   2.3332957      0.0419086515     128104.37                   106.75364     3056752.37313                  2547.29364
259          130.0662645   2.3340908      0.0419308920     490363.15                   408.63596    11694555.64961                  9745.46304
260          130.5657882   2.3348855      0.0419512647     170910.22                   142.42518     4074018.30001                  3395.01525
261          131.0653121   2.3356799      0.0419697880     140013.88                   116.67823     3336063.55103                  2780.05296
262          131.5648361   2.3364739      0.0419864804     619689.06                   516.40755    14759252.34695                 12299.37696
263          132.0643602   2.3372675      0.0420013604      41711.81                    34.75984      993106.16529                   827.58847
264          132.5638845   2.3380607      0.0420144464     596981.91                   497.48493    14208967.65251                 11840.80638
265          133.0634089   2.3388536      0.0420257568      36661.58                    30.55132      872359.78169                   726.96648
266          133.5629334   2.3396461      0.0420353099      26340.14                    21.95012      626619.38435                   522.18282
267          134.0624581   2.3404383      0.0420431241     453139.09                   377.61591    10777959.52834                  8981.63294
268          134.5619829   2.3412301      0.0420492177     430855.21                   359.04601    10246450.07037                  8538.70839
269          135.0615079   2.3420216      0.0420536091     605738.61                   504.78217    14403962.55179                 12003.30213
